seqid,Gene,Target,Target_description,nr_pathways
10876_300_3,BRAT1,BRAT1,BRCA1-associated ATM activator 1,0
10878_1_3,TNFRSF10B,TRAIL R2,Tumor necrosis factor receptor superfamily member 10B,3
10880_38_3,FAM163B,F163B,Protein FAM163B,0
10882_12_3,DSC1,Desmocollin-1,Desmocollin-1,1
10894_25_3,SCGN,Secretagogin,Secretagogin,0
10902_53_3,ASPRV1,APRV1,Retroviral-like aspartic protease 1,0
10914_4_3,CHIC2,CHIC2,Cysteine-rich hydrophobic domain-containing protein 2,0
10916_44_3,PLA2R1,PLA2R,Secretory phospholipase A2 receptor,4
10938_13_3,CD58,sLFA-3,Lymphocyte function-associated antigen 3,2
10970_3_3,ART3,NAR3,Ecto-ADP-ribosyltransferase 3,0
10977_55_3,UCMA,UCMA,Unique cartilage matrix-associated protein,0
10981_56_3,NRG3,NRG3,"Pro-neuregulin-3, membrane-bound isoform",2
11067_13_3,BGLAP,Osteocalcin,Osteocalcin,5
11089_7_3,IGHA1 IGHA2,IgA,Immunoglobulin A,2
11103_24_3,HSPB1,HSP 27,Heat shock protein beta-1,3
11117_2_3,SPATA20,SPT20,Spermatogenesis-associated protein 20,0
11129_66_3,BMP15,BMP15,Bone morphogenetic protein 15,8
11138_16_3,RUNX3,RUNX3,Runt-related transcription factor 3,3
11139_4_3,TREML4,TRML4,Trem-like transcript 4 protein,1
11146_4_3,TBX22,TBX22,T-box transcription factor TBX22,0
11154_3_3,NFE2L1,NF2L1,Nuclear factor erythroid 2-related factor 1,0
11155_16_3,COL6A5,CO6A5,Collagen alpha-5(VI) chain,7
11161_5_3,SPG20,SPG20,Spartin,0
11163_7_3,FAM162B,F162B,Protein FAM162B,0
11164_7_3,TENM2,TEN2,Teneurin-2,0
11173_29_3,MILR1,MILR1,Allergin-1,0
11174_8_3,THSD7A,THS7A,Thrombospondin type-1 domain-containing protein 7A,0
11185_145_3,GCH1,GCH1,GTP cyclohydrolase 1,0
11186_12_3,TMEM52,TMM52,Transmembrane protein 52,0
11196_31_3,COL6A3,Collagen alpha-3(VI),Collagen alpha-3(VI) chain,7
11200_52_3,CD93,C1QR1,Complement component C1q receptor,1
11201_19_3,PUS1,TRUA,"tRNA pseudouridine synthase A, mitochondrial",0
11204_80_3,CXADR,CXAR,Coxsackievirus and adenovirus receptor,2
11212_7_3,TXNDC5,TXND5,Thioredoxin domain-containing protein 5,1
11222_62_3,PTPRH,PTPRH,Receptor-type tyrosine-protein phosphatase H,0
11232_46_3,TCN1,Holo-TC I,Transcobalamin-1,1
11257_1_3,QDPR,DHPR,Dihydropteridine reductase,0
11262_39_3,TRABD,TRABD,TraB domain-containing protein,0
11265_8_3,ALDH1A1,Retinal dehydrogenase 1,Retinal dehydrogenase 1,2
11266_8_3,SELPLG,SELPL,P-selectin glycoprotein ligand 1,5
11270_17_3,CHCHD10,CHC10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",0
11287_14_3,CYB5A,Cytochrome b5,Cytochrome b5,0
11294_7_3,TMCC3,TMCC3,Transmembrane and coiled-coil domains protein 3,0
11297_54_3,NOTCH2,NOTC2,Neurogenic locus notch homolog protein 2,7
11308_8_3,CREB3L4,CR3L4,Cyclic AMP-responsive element-binding protein 3-like protein 4,13
11313_100_3,PCBD1,PHS,Pterin-4-alpha-carbinolamine dehydratase,0
11315_148_3,PPM1D,PPM1D,Protein phosphatase 1D,0
11319_106_3,MRE11A,MRE11,Double-strand break repair protein MRE11A,0
11327_56_3,CLK2,CLK2,Dual specificity protein kinase CLK2,2
11334_7_3,LILRB3,LIRB3,Leukocyte immunoglobulin-like receptor subfamily B member 3,2
11338_49_3,BLK,BLK,Tyrosine-protein kinase BLK,9
11358_15_3,GRB10,GRB10,Growth factor receptor-bound protein 10,2
11370_20_3,INPP5E,INP5E,72 kDa inositol polyphosphate 5-phosphatase,0
11377_19_3,ADH7,ADH7,Alcohol dehydrogenase class 4 mu/sigma chain,1
11390_24_3,CA8,Carbonic Anhydrase VIII,Carbonic anhydrase-related protein,0
11428_31_3,PDLIM1,PDLI1,PDZ and LIM domain protein 1,0
11440_58_3,SOCS3,SOCS-3,Suppressor of cytokine signaling 3,20
11458_30_3,PCBP1,PCBP1,Poly(rC)-binding protein 1,0
11462_8_3,RBFOX2,RBM9,RNA binding protein fox-1 homolog 2,0
11476_43_3,VPS4A,VPS4A,Vacuolar protein sorting-associated protein 4A,0
11490_42_3,UBL4A,UBL4A,Ubiquitin-like protein 4A,0
11510_51_3,APOL1,Apo L1,Apolipoprotein L1,7
11516_7_3,FABP1,FABPL,"Fatty acid-binding protein, liver",0
11534_6_3,LRIT3,LRIT3,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",0
11546_7_3,CYGB,CYGB,Cytoglobin,0
11547_84_3,MUSK,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",2
11572_4_3,DNM2,DYN2,Dynamin-2,1
11634_32_3,RGS10,RGS10,Regulator of G-protein signaling 10,0
11646_4_3,CHST9,Carbohydrate sulfotransferase 9,Carbohydrate sulfotransferase 9,0
11659_31_3,CLINT1,EPN4,Clathrin interactor 1,0
11669_39_3,SLCO5A1,SO5A1,Solute carrier organic anion transporter family member 5A1,0
11672_17_3,KIF16B,KI16B,Kinesin-like protein KIF16B,0
11678_105_3,GJD2,CXD2,Gap junction delta-2 protein,0
11681_8_3,AGFG1,NUPL,Arf-GAP domain and FG repeat-containing protein 1,0
11699_16_3,PTP4A2,TP4A2,Protein tyrosine phosphatase type IVA 2,0
11709_29_3,CPT1B,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform",1
11712_207_3,UNC45A,UN45A,Protein unc-45 homolog A,0
11837_7_3,TNFRSF18,GITR,Tumor necrosis factor receptor superfamily member 18,1
11851_21_3,TREM2,TREM2,Triggering receptor expressed on myeloid cells 2,5
11860_3_3,CLPB,CLPB,Caseinolytic peptidase B protein homolog,0
11918_54_3,STOX1,STOX1,Storkhead-box protein 1,0
11919_84_3,LRIT3,LRIT3,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",0
11934_9_3,INTS3,INT3,Integrator complex subunit 3,0
11952_1_3,IGDCC3,IGDC3,Immunoglobulin superfamily DCC subclass member 3,0
11955_1_3,ARHGAP1,RHG01,Rho GTPase-activating protein 1,1
11969_5_3,S100A2,S100A2,Protein S100-A2,0
12018_84_3,TPK1,TPK1,Thiamin pyrophosphokinase 1,0
12030_82_3,DES,Desmin,Desmin,0
12345_4_3,ANAPC10,APC10,Anaphase-promoting complex subunit 10,0
12350_86_3,ETS2,ETS2,Protein C-ets-2,1
12357_41_3,SNAP29,SNP29,Synaptosomal-associated protein 29,1
12358_6_3,IGBP1,IGBP1,Immunoglobulin-binding protein 1,0
12381_26_3,CBR1,CBR1,Carbonyl reductase [NADPH] 1,0
12385_4_3,CAPN3,CAN3,Calpain-3,2
12386_11_3,RNPEP,AMPB,Aminopeptidase B,0
12387_7_3,PDLIM4,PDLI4,PDZ and LIM domain protein 4,0
12394_53_3,C16orf54,CP054,Transmembrane protein C16orf54,0
12396_19_3,HIBCH,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",0
12398_15_3,PAX4,PAX4,Paired box protein Pax-4,2
12403_30_3,RAB39B,RB39B,Ras-related protein Rab-39B,0
12408_333_3,RAB22A,RB22A,Ras-related protein Rab-22A,0
12422_143_3,ALOX15B,LX15B,Arachidonate 15-lipoxygenase B,2
12423_38_3,A1CF,A1CF,APOBEC1 complementation factor,0
12438_127_3,MPG,3MG,DNA-3-methyladenine glycosylase,0
12453_161_3,NXF1,NXF1,Nuclear RNA export factor 1,0
12469_19_3,MAPRE1,MARE1,Microtubule-associated protein RP/EB family member 1,0
12471_47_3,STAU1,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,0
12477_42_3,TSN,TSN,Translin,0
12484_67_3,PITPNB,PIPNB,Phosphatidylinositol transfer protein beta isoform,0
12490_92_3,LAMTOR3,LTOR3,Ragulator complex protein LAMTOR3,3
12493_42_3,OTUB2,OTUB2,Ubiquitin thioesterase OTUB2,0
12498_12_3,TAX1BP3,TX1B3,Tax1-binding protein 3,0
12507_16_3,ITPKC,IP3KC,Inositol-trisphosphate 3-kinase C,0
12508_9_3,VPS24,CHMP3,Charged multivesicular body protein 3,0
12513_8_3,GLTP,GLTP,Glycolipid transfer protein,0
12516_13_3,TEAD4,TEAD4,Transcriptional enhancer factor TEF-3,0
12522_6_3,RAD23B,RD23B,UV excision repair protein RAD23 homolog B,0
12534_10_3,CALCOCO2,CACO2,Calcium-binding and coiled-coil domain-containing protein 2,0
12546_1_3,SMTN,SMTN,Smoothelin,0
12548_75_3,RRAGC,RRAGC,Ras-related GTP-binding protein C,1
12551_3_3,ITCH,ITCH,E3 ubiquitin-protein ligase Itchy homolog,0
12560_9_3,NT5C,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",0
12575_30_3,MTHFD1,C1TC,"C-1-tetrahydrofolate synthase, cytoplasmic",0
12577_100_3,FEN1,FLAP endonuclease-1,Flap endonuclease 1,0
12587_65_3,ARL2,ARL2,ADP-ribosylation factor-like protein 2,0
12597_68_3,ATG5,Autophagy protein 5,Autophagy protein 5,2
12616_45_3,NRBP1,NRBP,Nuclear receptor-binding protein,0
12633_3_3,PTPN9,PTN9,Tyrosine-protein phosphatase non-receptor type 9,0
12656_1_3,KLC1,KLC1,Kinesin light chain 1,1
12663_1_3,TST,THTR,Thiosulfate sulfurtransferase,0
12667_2_3,GDA,GUAD,Guanine deaminase,0
12670_15_3,RAD1,RAD1,Cell cycle checkpoint protein RAD1,0
12676_1_3,PACSIN1,PACN1,Protein kinase C and casein kinase substrate in neurons protein 1,0
12677_164_3,FLII,FLII,Protein flightless-1 homolog,0
12681_63_3,USP21,UBP21,Ubiquitin carboxyl-terminal hydrolase 21,0
12693_2_3,SH3BGRL,SH3L1,SH3 domain-binding glutamic acid-rich-like protein,0
12694_28_3,DIMT1,DIM1,Probable dimethyladenosine transferase,0
12695_62_3,KLHL12,KLH12,Kelch-like protein 12,0
12701_1_3,EIF1B,EIF1B,Eukaryotic translation initiation factor 1b,0
12707_26_3,DPYSL3,DPYL3,Dihydropyrimidinase-related protein 3,0
12718_43_3,PIN4,PIN4,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,0
12721_4_3,TAX1BP1,TAXB1,Tax1-binding protein 1,0
12724_81_3,CIRBP,CIRBP,Cold-inducible RNA-binding protein,0
12726_3_3,RFXAP,RFXAP,Regulatory factor X-associated protein,0
12734_112_3,KIF22,KIF22,Kinesin-like protein KIF22,0
12735_39_3,CSDE1,CSDE1,Cold shock domain-containing protein E1,0
12750_9_3,ITGB2,LFA-1 beta-2,Integrin beta-2,19
12751_26_3,ZHX1,ZHX1,Zinc fingers and homeoboxes protein 1,0
12756_3_3,BACH2,BACH2,Transcription regulator protein BACH2,0
12758_47_3,GRID2,GRID2,"Glutamate receptor ionotropic, delta-2",0
12771_19_3,ZNF180,ZN180,Zinc finger protein 180,0
12775_6_3,HMGB3,HMGB3,High mobility group protein B3,0
12777_11_3,SF1,SF01,Splicing factor 1,0
12779_30_3,PRDM4,PRDM4,PR domain zinc finger protein 4,0
12786_61_3,GPCPD1,GDE5,Glycerophosphocholine phosphodiesterase GPCPD1,0
12790_10_3,CCDC51,CCD51,Coiled-coil domain-containing protein 51,0
12794_6_3,NLRP4,NALP4,"NACHT, LRR and PYD domains-containing protein 4",2
12796_44_3,NUDT3,NUDT3,Diphosphoinositol polyphosphate phosphohydrolase 1,0
12803_9_3,ZNF329,ZN329,Zinc finger protein 329,0
12804_5_3,GMEB2,GMEB2,Glucocorticoid modulatory element-binding protein 2,0
12808_103_3,CARHSP1,CHSP1,Calcium-regulated heat stable protein 1,0
12811_55_3,ZNF415,ZN415,Zinc finger protein 415,0
12814_17_3,RNPC3,RBM40,RNA-binding protein 40,0
12815_9_3,IARS,SYIC,"Isoleucine--tRNA ligase, cytoplasmic",0
12822_34_3,APBB1,APBB1,Amyloid beta A4 precursor protein-binding family B member 1,1
12826_5_3,SLC5A5,SC5A5,Sodium/iodide cotransporter,0
12834_3_3,KCNF1,KCNF1,Potassium voltage-gated channel subfamily F member 1,0
12845_18_3,SNX17,SNX17,Sorting nexin-17,0
12847_27_3,RNGTT,MCE1,mRNA-capping enzyme,0
12853_112_3,TMOD2,TMOD2,Tropomodulin-2,0
12854_3_3,TEAD3,TEAD3,Transcriptional enhancer factor TEF-5,0
12855_16_3,CASS4,CT032,Cas scaffolding protein family member 4,0
12859_33_3,ECI2,PECI,"Enoyl-CoA delta isomerase 2, mitochondrial",0
12861_13_3,TMOD3,TMOD3,Tropomodulin-3,0
12862_14_3,NEDD9,CASL,Enhancer of filamentation 1,0
12867_40_3,DYNLT3,DYLT3,Dynein light chain Tctex-type 3,0
12876_39_3,SPEF1,SPEF1,Sperm flagellar protein 1,0
12878_60_3,OSBPL11,OSB11,Oxysterol-binding protein-related protein 11,0
12900_29_3,ACACB,ACACB,Acetyl-CoA carboxylase 2,1
12936_38_3,RLBP1,RLBP1,Retinaldehyde-binding protein 1,0
12975_11_3,KRT20,Keratin 20,"Keratin, type I cytoskeletal 20",1
12988_49_3,EWSR1,EWS,RNA-binding protein EWS,0
12990_39_3,MAP3K3,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,3
13025_4_3,FRS2,FRS2,Fibroblast growth factor receptor substrate 2,6
13028_2_3,EVI2B,EVI2B,Protein EVI2B,0
13041_47_3,TRAF4,TRAF4,TNF receptor-associated factor 4,1
13042_7_3,KCNA10,KCA10,Potassium voltage-gated channel subfamily A member 10,0
13043_157_3,ATAD2,ATAD2,ATPase family AAA domain-containing protein 2,0
13094_75_3,RSPO3,RSPO3,R-spondin-3,0
13097_11_3,BCL2L2,Apoptosis regulator Bcl-W,Bcl-2-like protein 2,0
13104_32_3,EFNB1,EFNB1,Ephrin-B1,3
13116_25_3,CD177,CD177,CD177 antigen,3
13122_19_3,FLRT2,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,1
13123_3_3,FLRT3,FLRT3,Leucine-rich repeat transmembrane protein FLRT3,1
13126_52_3,DSC2,DSC2,Desmocollin-2,0
13240_170_3,SHANK1,SHAN1,SH3 and multiple ankyrin repeat domains protein 1,0
13268_45_3,WNT5A,WNT5A,Protein Wnt-5a,11
13387_55_3,EHF,EHF,ETS homologous factor,0
13392_13_3,ATP1B1,AT1B1,Sodium/potassium-transporting ATPase subunit beta-1,1
13393_46_3,DERL1,DERL1,Derlin-1,0
13405_61_3,SPINK2,ISK2,Serine protease inhibitor Kazal-type 2,0
13416_8_3,TMEM132D,T132D,Transmembrane protein 132D,0
13422_66_3,ENOX2,ENOX2,Ecto-NOX disulfide-thiol exchanger 2,0
13424_51_3,AIFM1,AIF,"Apoptosis-inducing factor 1, mitochondrial",1
13429_3_3,WFDC10A,WF10A,WAP four-disulfide core domain protein 10A,0
13431_74_3,FAM159A,F159A,Membrane protein FAM159A,0
13435_31_3,IL20RB,IL-20 Rb,Interleukin-20 receptor subunit beta,4
13441_30_3,DIXDC1,DIXC1,Dixin,0
13455_10_3,DEFB119,DB119,Beta-defensin 119,2
13468_5_3,NEURL4,NEUL4,Neuralized-like protein 4,0
13477_65_3,LTB4R,LT4R1,Leukotriene B4 receptor 1,0
13484_69_3,COL1A1,CO1A1,Collagen alpha-1(I) chain,19
13485_20_3,TMEM87B,TM87B,Transmembrane protein 87B,0
13487_24_3,UNC93B1,UN93B,Protein unc-93 homolog B1,0
13493_5_3,GRID1,GRID1,"Glutamate receptor ionotropic, delta-1",0
13494_6_3,CERS5,CERS5,Ceramide synthase 5,0
13499_30_3,F8,Coagulation Factor VIII,Coagulation Factor VIII,4
13501_10_3,SLC35G2,S35G2,Solute carrier family 35 member G2,0
13504_147_3,HNRNPR,HNRPR,Heterogeneous nuclear ribonucleoprotein R,0
13512_28_3,HNRNPR,HNRPR,Heterogeneous nuclear ribonucleoprotein R,0
13519_112_3,ARHGEF25,ARHGP,Rho guanine nucleotide exchange factor 25,0
13544_9_3,HMHA1,HMHA1,Minor histocompatibility protein HA-1,0
13545_97_3,EIF1AD,EIF1A,Probable RNA-binding protein EIF1AD,0
13553_4_3,DCUN1D3,DCNL3,DCN1-like protein 3,0
13554_78_3,REPIN1,REPI1,Replication initiator 1,0
13556_28_3,HTR2A,5HT2A,5-hydroxytryptamine receptor 2A,0
13566_2_3,SSU72,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,0
13580_2_3,UAP1,Sperm-associated antigen 2,UDP-N-acetylhexosamine pyrophosphorylase,0
13583_19_3,APAF1,Apaf-1,Apoptotic protease-activating factor 1,3
13587_10_3,RACGAP1,RGAP1,Rac GTPase-activating protein 1,0
13589_10_3,APBB3,APBB3,Amyloid beta A4 precursor protein-binding family B member 3,0
13596_3_3,RAB27B,RB27B,Ras-related protein Rab-27B,0
13622_16_3,PPP2R5A,2A5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,7
13653_335_3,MACROD1,MACD1,O-acetyl-ADP-ribose deacetylase MACROD1,0
13657_2_3,PNKP,PNKP,Bifunctional polynucleotide phosphatase/kinase,0
13661_193_3,CST5,CYTD,Cystatin-D,0
13665_35_3,PPP2R3A,"PP2A, subunit B",Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,5
13670_81_3,PLA2G2E,GIIE,Group IIE secretory phospholipase A2,7
13673_21_3,CCT7,TCPH,T-complex protein 1 subunit eta,0
13681_173_3,CSNK2A2,CSK22,Casein kinase II subunit alpha',4
13683_18_3,CLCNKB,CLCKB,Chloride channel protein ClC-Kb,0
13686_2_3,IL5RA,IL-5 Ra,Interleukin-5 receptor subunit alpha,5
13700_10_3,ANXA2,annexin II,Annexin A2,2
13701_2_3,CXCL13,BLC,C-X-C motif chemokine 13,4
13708_56_3,KLK8,kallikrein 8,Kallikrein-8,3
13710_6_3,SERPING1,C1-Esterase Inhibitor,Plasma protease C1 inhibitor,2
13716_259_3,F2,Prothrombin,Prothrombin,12
13724_27_3,FGF19,FGF-19,Fibroblast growth factor 19,12
13725_3_3,FGF16,FGF-16,Fibroblast growth factor 16,10
13728_19_3,ERP29,ERP29,Endoplasmic reticulum resident protein 29,0
13733_5_3,IL12B,IL-12 p40,Interleukin-12 subunit beta,40
13738_8_3,INHBA,Inhibin bA chain,Inhibin beta A chain,3
13739_3_3,FLRT1,FLRT1,Leucine-rich repeat transmembrane protein FLRT1,1
13744_37_3,IL3RA,IL-3 Ra,Interleukin-3 receptor subunit alpha,8
13747_9_3,CA6,Carbonic anhydrase 6,Carbonic anhydrase 6,0
13926_1_3,RMI1,RMI1,RecQ-mediated genome instability protein 1,0
13929_27_3,CROT,OCTC,Peroxisomal carnitine O-octanoyltransferase,0
13930_3_3,APOBEC3G,ABC3G,DNA dC->dU-editing enzyme APOBEC-3G,0
13941_82_3,FARS2,SYFM,"Phenylalanine--tRNA ligase, mitochondrial",0
13948_50_3,GABBR2,GABR2,Gamma-aminobutyric acid type B receptor subunit 2,1
13959_7_3,LAP3,LAP,Cytosol aminopeptidase,0
13960_15_3,AGAP3,AGAP3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",0
13972_4_3,HSD17B14,DHB14,17-beta-hydroxysteroid dehydrogenase 14,0
13983_27_3,CRYZ,QOR,Quinone oxidoreductase,0
13985_12_3,SMURF2,SMUF2,E3 ubiquitin-protein ligase SMURF2,1
13994_1_3,FBL,FBRL,rRNA 2'-O-methyltransferase fibrillarin,0
14002_18_3,DOCK9,DOCK9,Dedicator of cytokinesis protein 9,0
14005_2_3,CHD7,CHD7,Chromodomain-helicase-DNA-binding protein 7,1
14025_18_3,TNFRSF9,4-1BB,Tumor necrosis factor receptor superfamily member 9,2
14026_24_3,IL17F,IL-17F,Interleukin-17F,29
14035_13_3,TIAM1,TIAM1,T-lymphoma invasion and metastasis-inducing protein 1,2
14036_116_3,MPDZ,MPDZ,Multiple PDZ domain protein,0
14037_18_3,RANBP3,RANB3,Ran-binding protein 3,0
14047_78_3,BDNF,BDNF,Brain-derived neurotrophic factor,8
14048_7_3,IL1RAP,IL-1 R AcP,Interleukin-1 Receptor accessory protein,19
14050_61_3,EFNA4,Ephrin-A4,Ephrin-A4,2
14052_26_3,UNC13A,UN13A,Protein unc-13 homolog A,1
14070_56_3,ITSN1,ITSN1,Intersectin-1,2
14077_6_3,FCN3,Ficolin-3,Ficolin-3,0
14078_69_3,XCL1,Lymphotactin,Lymphotactin,3
14079_14_3,IL18R1,IL-18 Ra,Interleukin-18 receptor 1,11
14082_56_3,TLN2,TLN2,Talin-2,1
14086_11_3,SMPDL3A,ASM3A,Acid sphingomyelinase-like phosphodiesterase 3a,2
14090_23_3,DEF6,DEFI6,Differentially expressed in FDCP 6 homolog,0
14091_42_3,CBR3,Carbonyl reductase 3,Carbonyl reductase [NADPH] 3,0
14093_10_3,FLT3LG,Flt3 ligand,Fms-related tyrosine kinase 3 ligand,6
14095_1_3,KLRK1,NKG2D,NKG2-D type II integral membrane protein,3
14098_28_3,CARS,SYCC,"Cysteine--tRNA ligase, cytoplasmic",0
14105_5_3,SERPINA4,Kallistatin,Kallistatin,1
14108_15_3,TGFB1,TGF-b1,Transforming growth factor beta-1,55
14121_24_3,TNFRSF10D,TRAIL R4,Tumor necrosis factor receptor superfamily member 10D,1
14123_34_3,C10orf54,GI24,Platelet receptor Gi24,0
14125_5_3,APOM,ApoM,Apolipoprotein M,6
14133_93_3,IL1R2,IL-1 sRII,Interleukin-1 receptor type 2,21
14134_49_3,AMIGO2,AMGO2,Amphoterin-induced protein 2,0
14144_3_3,HIST3H2A,H2A3,Histone H2A type 3,0
14150_7_3,IL36A,IL-1F6,Interleukin-36 alpha,37
14169_66_3,TXNL4B,TXN4B,Thioredoxin-like protein 4B,0
14186_13_3,RFFL,RFFL,E3 ubiquitin-protein ligase rififylin,0
14227_21_3,MYL6B,MYL6B,Myosin light chain 6B,3
14246_50_3,DOK2,DOK2,Docking protein 2,1
14256_4_3,FBN3,FBN3,Fibrillin-3,0
14260_112_3,NET1,ARHG8,Neuroepithelial cell-transforming gene 1 protein,0
14272_43_3,FBXL4,FBXL4,F-box/LRR-repeat protein 4,0
14287_6_3,RAB5C,RAB5C,Ras-related protein Rab-5C,3
14291_53_3,AGAP2,AGAP2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",0
14294_61_3,MBD1,MBD1,Methyl-CpG-binding domain protein 1,0
14334_3_3,RCVRN,RECO,Recoverin,0
14587_16_3,GDF11,GDF-11,Growth/differentiation factor 11,1
14603_51_3,KIAA0040,KIAA0040,Uncharacterized protein KIAA0040,0
14614_41_3,NCMAP,CA130,Noncompact myelin-associated protein,0
